Product_ID,Product_Name,Category,Sub_Category,Brand,Unit_Price,Cost_Price,Stock
1,NovaPhone X1 - Lite,Electronics,Smartphones,PixelForge,66.76,35.07,114
2,PixelForge Ultra - Blue,Electronics,Smartphones,QuantumGear,1024.74,607.81,44
3,Aether 12 Pro,Electronics,Smartphones,QuantumGear,73.79,38.3,258
4,Quantum S9 - Blue,Electronics,Smartphones,PixelForge,1082.54,619.37,214
5,SonicWave Max - White,Electronics,Smartphones,AetherTech,1219.85,604.7,81
6,SonicWave Max,Electronics,Smartphones,TechNova,438.46,227.42,172
7,NovaBook Air - Lite,Electronics,Laptops,TechNova,172.16,101.27,135
8,NovaBook Air - Pro,Electronics,Laptops,TechNova,705.34,358.83,193
9,ForgePro 15 - Black,Electronics,Laptops,QuantumGear,1249.21,703.35,185
10,ForgePro 15,Electronics,Laptops,SonicWave,1065.71,532.9,116
11,AetherBook Elite - Black,Electronics,Laptops,SonicWave,1303.72,699.85,232
12,Quantum Laptop 14 - Lite,Electronics,Laptops,QuantumGear,552.24,314.07,36
13,Quantum Laptop 14 - Blue,Electronics,Laptops,AetherTech,281.56,161.95,83
14,SonicWave Notebook - Lite,Electronics,Laptops,PixelForge,1484.59,839.39,285
15,SonicWave Notebook - Large,Electronics,Laptops,PixelForge,506.69,293.63,28
16,SonicWave Pro ANC - Pro,Electronics,Headphones,PixelForge,1213.41,654.18,33
17,AetherBuds Max - White,Electronics,Headphones,PixelForge,342.55,188.37,234
18,AetherBuds Max - Lite,Electronics,Headphones,SonicWave,235.25,135.73,275
19,Quantum Sound X - Pro,Electronics,Headphones,PixelForge,1349.79,727.45,112
20,Quantum Sound X - Lite,Electronics,Headphones,PixelForge,755.46,436.76,56
21,NovaEars Elite - Blue,Electronics,Headphones,AetherTech,1194.35,646.67,32
22,ForgeAudio HD - Lite,Electronics,Headphones,TechNova,807.79,486.14,5
23,ForgeAudio HD - White,Electronics,Headphones,TechNova,1330.63,768.57,174
24,NovaWatch S3 - Large,Electronics,Smartwatches,QuantumGear,262.48,130.02,134
25,NovaWatch S3 - Pro,Electronics,Smartwatches,QuantumGear,292.61,174.22,152
26,AetherBand Pro,Electronics,Smartwatches,QuantumGear,254.66,147.42,276
27,Quantum Time - Black,Electronics,Smartwatches,SonicWave,748.24,379.59,185
28,Quantum Time - Lite,Electronics,Smartwatches,TechNova,115.14,68.11,40
29,ForgeFit Ultra - Black,Electronics,Smartwatches,PixelForge,1229.54,740.89,272
30,ForgeFit Ultra - Pro,Electronics,Smartwatches,SonicWave,999.82,599.05,84
31,SonicWave Tracker - Blue,Electronics,Smartwatches,SonicWave,1447.6,864.48,102
32,SonicWave Tracker - Blue,Electronics,Smartwatches,QuantumGear,1492.86,845.69,224
33,NovaTab 11 - Pro,Electronics,Tablets,QuantumGear,394.41,198.01,10
34,AetherPad Pro,Electronics,Tablets,PixelForge,895.0,443.73,30
35,Quantum Tablet - Lite,Electronics,Tablets,SonicWave,1293.65,650.44,121
36,ForgeTab X - Blue,Electronics,Tablets,QuantumGear,344.92,175.76,292
37,ForgeTab X,Electronics,Tablets,PixelForge,387.2,211.81,208
38,SonicWave Slate - Large,Electronics,Tablets,AetherTech,998.69,533.27,210
39,NovaCam 4K - Blue,Electronics,Cameras,TechNova,1019.84,615.23,50
40,AetherShot Pro - Pro,Electronics,Cameras,PixelForge,1206.86,611.9,98
41,AetherShot Pro - Black,Electronics,Cameras,AetherTech,689.45,373.27,142
42,Quantum Lens X,Electronics,Cameras,TechNova,681.39,401.85,281
43,ForgeVision - Blue,Electronics,Cameras,PixelForge,1454.41,868.14,121
44,SonicWave Camera - Blue,Electronics,Cameras,PixelForge,737.59,435.26,30
45,SonicWave Camera - Blue,Electronics,Cameras,SonicWave,33.16,17.84,232
46,NovaCharge Fast - Lite,Electronics,Accessories,QuantumGear,257.54,135.89,29
47,NovaCharge Fast - Pro,Electronics,Accessories,TechNova,827.02,477.42,29
48,AetherCase Pro - Pro,Electronics,Accessories,TechNova,769.18,452.89,80
49,AetherCase Pro - Blue,Electronics,Accessories,PixelForge,147.75,76.16,34
50,Quantum Cable Pack,Electronics,Accessories,QuantumGear,1414.14,788.62,296
51,ForgeStand - White,Electronics,Accessories,SonicWave,646.25,361.39,267
52,SonicWave Dock - Black,Electronics,Accessories,AetherTech,1014.49,537.23,135
53,Classic Oxford Shirt - Blue,Clothing,Men Apparel,UrbanThread,96.86,42.07,37
54,Classic Oxford Shirt - Pro,Clothing,Men Apparel,UrbanThread,128.01,51.85,51
55,Slim Fit Chinos - Black,Clothing,Men Apparel,UrbanThread,106.11,39.32,178
56,Performance Polo - Pro,Clothing,Men Apparel,ActiveWear Co,64.14,25.34,278
57,Performance Polo - Lite,Clothing,Men Apparel,UrbanThread,196.92,83.61,270
58,Wool Blend Blazer,Clothing,Men Apparel,ActiveWear Co,187.02,68.88,68
59,Wool Blend Blazer - White,Clothing,Men Apparel,ActiveWear Co,179.04,75.09,79
60,Casual Denim Jacket - Blue,Clothing,Men Apparel,EcoCloth,146.34,55.07,135
61,Floral Summer Dress - Large,Clothing,Women Apparel,StyleVault,182.0,77.84,47
62,Floral Summer Dress - Black,Clothing,Women Apparel,ActiveWear Co,62.56,22.54,66
63,High-Waist Jeans,Clothing,Women Apparel,UrbanThread,114.81,45.26,4
