Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Unit_Price,Total_Amount,Order_Status,Payment_Method
1,138,78,2024-06-28,1,78.69,78.69,Completed,Apple Pay
2,401,20,2024-08-25,5,755.46,3777.3,Completed,Google Pay
3,316,51,2024-10-19,1,563.17,563.17,Shipped,Apple Pay
4,412,85,2024-10-09,1,107.93,107.93,Shipped,Google Pay
5,70,77,2024-07-31,5,10.31,51.55,Completed,Debit Card
6,494,102,2025-06-16,1,300.6,300.6,Completed,Google Pay
7,401,63,2024-08-03,1,114.81,114.81,Completed,Credit Card
8,478,145,2024-05-12,6,426.3,2557.8,Completed,Bank Transfer
9,237,182,2024-05-19,3,78.66,235.98,Completed,Apple Pay
10,345,128,2024-03-26,1,247.16,247.16,Completed,Bank Transfer
11,217,97,2024-01-26,2,150.28,300.56,Completed,Bank Transfer
12,215,140,2023-12-14,5,162.72,813.6,Completed,Google Pay
13,341,91,2024-04-17,2,551.71,1103.42,Shipped,Bank Transfer
14,332,103,2025-06-16,1,406.28,406.28,Completed,Credit Card
15,51,67,2024-05-28,3,136.71,410.13,Pending,Google Pay
16,114,115,2024-09-01,2,512.41,1024.82,Pending,Google Pay
17,78,89,2025-06-29,2,537.2,1074.4,Completed,Credit Card
18,426,187,2024-03-28,1,148.95,148.95,Completed,Google Pay
19,248,90,2024-10-28,1,485.39,485.39,Completed,Credit Card
20,154,12,2025-04-09,1,552.24,552.24,Shipped,Credit Card
21,347,43,2025-05-31,3,1454.41,4363.23,Shipped,Debit Card
22,170,144,2024-10-01,2,158.28,316.56,Shipped,Debit Card
23,96,164,2025-01-28,3,72.85,218.55,Completed,Google Pay
24,220,100,2023-10-20,1,294.02,294.02,Pending,Credit Card
25,296,27,2025-04-04,2,748.24,1496.48,Completed,Apple Pay
26,59,68,2025-02-04,5,185.89,929.45,Completed,Google Pay
27,201,151,2024-03-04,1,296.59,296.59,Completed,Bank Transfer
28,362,77,2025-05-26,2,10.31,20.62,Completed,Credit Card
29,123,79,2024-03-07,1,127.74,127.74,Shipped,Debit Card
30,295,99,2024-09-29,2,260.77,521.54,Shipped,Debit Card
31,285,43,2024-11-05,1,1454.41,1454.41,Completed,Google Pay
32,28,92,2025-06-09,2,570.76,1141.52,Completed,Google Pay
33,259,168,2024-11-08,2,57.0,114.0,Completed,Apple Pay
34,86,22,2024-12-14,3,807.79,2423.37,Completed,PayPal
35,116,138,2024-07-11,3,60.88,182.64,Cancelled,Apple Pay
36,282,131,2024-03-04,1,374.52,374.52,Completed,Google Pay
37,422,194,2023-12-21,3,125.92,377.76,Completed,Credit Card
38,377,168,2025-03-13,1,57.0,57.0,Completed,PayPal
39,179,23,2024-10-08,6,1330.63,7983.78,Completed,Debit Card
40,416,189,2024-12-25,1,126.25,126.25,Shipped,Apple Pay
41,85,158,2024-03-26,1,318.85,318.85,Completed,Google Pay
42,180,137,2024-07-06,2,212.33,424.66,Pending,PayPal
43,149,147,2024-06-27,4,400.45,1601.8,Pending,Credit Card
44,70,193,2025-03-29,4,66.99,267.96,Shipped,Debit Card
45,360,34,2024-06-16,3,895.0,2685.0,Cancelled,Bank Transfer
46,202,126,2024-03-28,2,351.48,702.96,Completed,Apple Pay
